UID,Quiz1_java_code_counts,Quiz1_is_attended,Quiz1_num_of_words_in_code,Quiz1_num_of_effective_lines_in_code,Quiz2_java_code_counts,Quiz2_is_attended,Quiz2_num_of_words_in_code,Quiz2_num_of_effective_lines_in_code,Lab1_java_code_counts,Lab1_is_attended,Lab1_num_of_words_in_code,Lab1_num_of_effective_lines_in_code,Lab2_java_code_counts,Lab2_is_attended,Lab2_num_of_words_in_code,Lab2_num_of_effective_lines_in_code
1280995,2,1,595,115,6,1,507,117,3,1,294,64,1,1,454,95
1762204,2,1,352,92,11,1,488,124,3,1,270,62,10,1,452,92
1764665,3,1,367,90,11,1,482,132,2,1,222,52,10,1,434,97
1889298,2,1,502,116,1,1,500,105,3,1,360,91,1,1,261,60
2051651,0,0,0,0,6,1,498,118,3,1,267,60,10,1,433,103
2103960,2,1,523,130,6,1,566,125,3,1,266,61,1,1,398,84
2112376,0,0,0,0,22,1,480,89,0,0,0,0,10,1,418,91
2179244,2,1,391,99,6,1,482,102,3,1,158,32,1,1,401,73
2384475,2,1,346,79,6,1,507,124,3,1,337,74,1,1,548,119
2786122,3,1,392,99,6,1,566,126,3,1,291,74,10,1,460,101
3659398,2,1,353,95,11,1,518,129,0,0,0,0,10,1,440,88
3688139,4,1,546,117,6,1,526,114,3,1,242,60,1,1,435,101
3963286,2,1,455,112,0,0,0,0,2,1,114,30,1,1,417,90
4114373,2,1,501,111,6,1,535,113,3,1,172,42,0,0,0,0
4275079,4,1,403,103,6,1,520,120,4,1,221,53,10,1,448,99
4380745,2,1,395,96,11,1,474,129,4,1,305,66,1,1,546,130
4540765,4,1,424,103,6,1,554,124,2,1,220,47,10,1,464,97
4731282,2,1,390,88,1,1,590,137,3,1,283,68,1,1,419,92
4779274,2,1,595,114,6,1,504,118,1,1,330,44,1,1,397,86
4810237,3,1,351,91,5,1,403,91,2,1,193,58,10,1,221,67
4856424,5,1,411,105,12,1,457,97,4,1,171,41,1,1,374,82
5187413,4,1,404,96,6,1,525,118,4,1,368,82,10,1,543,111
5281670,4,1,486,101,6,1,580,121,0,0,0,0,10,1,456,97
5361565,2,1,428,98,6,1,550,117,3,1,272,65,1,1,452,92
5628146,4,1,451,107,6,1,457,106,4,1,261,63,10,1,451,108
5902250,0,0,0,0,6,1,539,128,3,1,264,65,10,1,602,150
6094496,4,1,431,106,6,1,504,111,4,1,274,66,10,1,488,110
6157698,2,1,519,92,0,0,0,0,3,1,259,46,1,1,413,88
6194008,2,1,377,96,1,1,457,123,0,0,0,0,1,1,485,100
6202193,2,1,296,65,3,1,565,129,3,1,181,41,1,1,461,91
6275288,2,1,323,86,11,1,561,125,0,0,0,0,10,1,510,102
6343320,2,1,249,62,5,1,346,80,2,1,189,51,1,1,313,68
6418019,3,1,298,76,6,1,524,113,2,1,214,51,1,1,524,115
6429016,4,1,482,119,6,1,530,133,3,1,524,59,10,1,462,114
6494434,4,1,383,97,6,1,518,120,2,1,295,63,10,1,451,97
6539697,1,1,377,96,6,1,455,106,1,1,180,40,10,1,414,96
6897869,2,1,449,116,11,1,534,143,3,1,304,71,10,1,450,109
6914659,4,1,445,106,6,1,628,110,4,1,490,89,10,1,580,112
7214465,2,1,304,79,11,1,452,123,3,1,321,73,4,1,386,90
7374887,1,1,349,85,6,1,489,111,3,1,281,62,1,1,446,95
7732416,3,1,464,102,6,1,499,123,2,1,241,54,10,1,475,102
7817361,2,1,336,87,11,1,471,112,3,1,236,59,10,1,50,20
8059049,2,1,408,99,6,1,515,119,3,1,229,49,7,1,444,96
8190737,2,1,403,104,4,1,466,121,3,1,323,74,4,1,432,97
8435496,2,1,423,103,11,1,464,135,3,1,252,57,10,1,481,112
8700334,3,1,353,96,6,1,448,98,0,0,0,0,1,1,404,90
8783086,2,1,301,79,11,1,487,102,3,1,235,57,10,1,397,85
8857652,3,1,563,95,6,1,652,139,3,1,326,57,10,1,662,123
8862077,4,1,392,97,6,1,532,110,0,0,0,0,10,1,436,92
8964453,0,0,0,0,11,1,460,124,0,0,0,0,10,1,397,86
9164612,3,1,451,106,6,1,446,104,2,1,403,60,10,1,397,93
9167236,2,1,473,95,6,1,525,128,1,1,432,90,10,1,488,103
9245287,2,1,449,103,6,1,492,112,3,1,251,57,1,1,459,98
9367691,2,1,269,72,0,0,0,0,3,1,218,50,0,0,0,0
9830856,2,1,531,155,11,1,470,137,3,1,265,75,10,1,472,92
9905145,2,1,445,74,6,1,563,121,3,1,188,47,10,1,442,99
